Id,Model,Price,Age,Mfg_Month,Millage,HP,Automatic,CC,Doors,Cylinders,Gears,QuartTax,Weight
36,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,7,43000,97,0,1400,3,4,5,85,1100
37,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,8,25000,97,0,1400,3,4,5,85,1100
38,HONDA Civic 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10,10000,97,0,1400,3,4,5,85,1100
39,HONDA Civic 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,1,25329,97,0,1400,3,4,5,85,1100
40, HONDA Civic 1.4 16V VVT I 3DR 2/3-Doors,14750,27,6,27500,97,0,1400,3,4,5,85,1100
41, HONDA Civic 1.4 16V VVT I 3DR 2/3-Doors,13950,22,11,49059,97,0,1400,3,4,5,85,1100
42,HONDA Civic 1.4 16V VVT I 3DR 2/3-Doors,16750,27,6,44068,97,0,1400,3,4,5,85,1100
43,HONDA Civic 1.4 16V VVT I 3DR 2/3-Doors,13950,22,11,46961,97,0,1400,3,4,5,85,1100
44,HONDA Civic 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,6,110404,90,0,2000,5,4,5,234,1255
45,HONDA Civic 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,11,100250,90,0,2000,5,4,5,234,1255
46, HONDA Civic 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,10,84000,90,0,2000,5,4,5,234,1270
47,HONDA Civic 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,6,79375,90,0,2000,5,4,5,234,1255
48,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,11,75048,97,0,1400,5,4,5,85,1110
49, HONDA Civic 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,72215,90,0,2000,5,4,5,234,1255
50,HONDA Civic 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,2,64982,192,0,1800,5,4,6,100,1195
51,HONDA Civic 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,62636,90,0,2000,5,4,5,234,1255
52, HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,3,57086,97,0,1400,5,4,5,85,1110
53,HONDA Civic 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,7,56000,110,1,1600,5,4,5,100,1180
54,HONDA Civic 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,6,49866,192,0,1800,5,4,5,100,1195
55, HONDA Civic 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,8,49163,110,1,1600,5,4,5,100,1165
56, HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,1,45725,110,0,1600,5,4,5,85,1075
57,HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,5,43210,97,0,1400,5,4,5,85,1110
58,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,7,43000,97,0,1400,5,4,5,85,1110
59, HONDA Civic 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,10,39704,110,1,1600,5,4,5,100,1180
60, HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,3,38950,110,0,1600,5,4,5,85,1130
61,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,37400,97,0,1400,5,4,5,85,1110
62, HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,6,37177,110,0,1600,5,4,5,85,1130
63,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,36544,110,0,1600,5,4,5,85,1130
64,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,3,33511,110,0,1600,5,4,5,85,1130
65,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,6,32809,97,0,1400,5,4,5,85,1110
66,HONDA Civic 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,7,32181,110,0,1600,5,4,5,19,1075
67,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,30993,110,0,1600,5,4,5,85,1130
68,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,30400,97,0,1400,5,4,5,85,1110
69,HONDA Civic 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,11,30000,110,0,2000,5,4,5,234,1275
70,HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,8,29719,97,0,1400,5,4,5,85,1110
71, HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,5,29206,97,0,1400,5,4,5,85,1110
72,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,1,29198,97,0,1400,5,4,5,85,1060
73, HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,28817,110,0,1598,5,4,5,85,1130
74, HONDA Civic 1.4 16V VVT I 5DR 4/5-Doors,15750,23,10,28227,97,0,1400,5,4,5,85,1110
75, HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,5,28000,110,0,1600,5,4,5,85,1130
76,HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,10,28000,110,0,1600,5,4,5,85,1115
77,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,25266,110,0,1600,5,4,5,85,1130
78,HONDA Civic 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,6,23489,110,0,1600,5,4,5,85,1115
79,HONDA Civic 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,4,22575,110,0,1600,5,4,5,85,1115
80,HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,3,22000,97,0,1400,5,4,5,85,1110
81,HONDA Civic 1.6 5drs 1 4/5-Doors,18950,25,8,20019,110,1,16000,5,4,5,100,1180
82,HONDA Civic 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,4,20000,110,0,1600,5,4,5,85,1115
83, HONDA Civic 1.4 16V VVT I 5DR 4/5-Doors,15450,25,8,17003,97,0,1400,5,4,5,85,1110
84,HONDA Civic 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,2,16238,110,1,1600,5,4,5,100,1180
85, HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,8,15414,97,0,1400,5,4,5,85,1110
86,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,5,8537,110,0,1600,5,4,5,85,1130
87, HONDA Civic 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,3,7000,97,0,1400,5,4,5,85,1100
88,HONDA Civic 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,1,66966,90,0,2000,3,4,5,210,1245
89,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,51884,97,0,1400,3,4,5,85,1100
90,HONDA Civic 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,2,50005,110,0,2000,3,4,5,234,1265
91,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,1,48110,97,0,1400,3,4,5,85,1100
92, HONDA Civic 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,1,37500,90,0,2000,3,4,5,234,1260
93,HONDA Civic 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,5,34472,90,0,1995,3,4,5,234,1260
94,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,1,33329,97,0,1400,3,4,5,85,1100
95,HONDA Civic 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,1,31850,110,0,1600,3,4,5,85,1120
96,HONDA Civic 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,4,30351,90,0,1995,3,4,5,234,1260
97, HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,29435,97,0,1400,3,4,5,85,1100
98,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,25948,97,0,1400,3,4,5,85,1100
99,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,10,24500,110,0,1600,3,4,5,85,1120
100,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,3,23902,97,0,1400,3,4,5,85,1100
101, HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,1,23175,110,0,1600,3,4,5,85,1120
102, HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,2,19200,97,0,1400,3,4,5,85,1100
103,HONDA Civic 1.4 VVT-i Sol 2/3-Doors,18500,13,8,18000,71,0,1400,3,4,5,85,1125
104,HONDA Civic 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,10,16123,110,0,1600,3,4,5,85,1105
105,HONDA Civic 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,10,14635,110,1,1600,3,4,5,100,1155
106, HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,2,13748,97,0,1400,3,4,5,85,1100
107, HONDA Civic 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,7,11500,110,0,1600,3,4,5,69,1045
108,HONDA Civic 1.4 16V VVT I 3DR 2/3-Doors,17450,17,4,10000,97,0,1400,3,4,5,85,1100
109, HONDA Civic 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,1,7187,110,0,1600,3,4,5,85,1105
111, HONDA Civic VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,5,1,116,0,2000,5,4,5,283,1480
112,HONDA Civic VERSO 2.0 D4D SOL (7) MPV,31000,4,5,4000,116,0,2000,5,4,5,283,1480
113,HONDA Civic VERSO 2.0 D4D SOL (7) MPV,31275,4,5,1500,116,0,2000,5,4,5,283,1480
114, HONDA Civic VERSO 2.0 D4D LINEA SOL MPV,24950,8,1,13253,116,0,2000,5,4,5,234,1320
115,HONDA Civic VERSO 2.0 D4D LINEA SOL MPV,24950,8,1,13253,116,0,2000,5,4,5,234,1320
116,HONDA Civic 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,2,10000,116,0,2000,5,4,5,234,1270
117,HONDA Civic 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,1,6000,90,0,2000,5,4,5,234,1280
118, HONDA Civic 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,1,10841,90,0,2000,5,4,5,234,1270
119,HONDA Civic 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,2,1,110,0,1600,3,4,5,85,1105
120,HONDA Civic 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,1,63000,90,0,2000,5,4,5,234,1255
121,HONDA Civic 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,4,57313,110,0,2000,5,4,5,234,1275
122,HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,8,57037,110,0,1600,5,4,5,85,1115
123, HONDA Civic 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,2,51099,90,0,2000,5,4,5,234,1255
124, HONDA Civic 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,7,40010,110,0,1600,5,4,5,85,1115
125,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,1,39115,110,0,1600,5,4,5,85,1130
126,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,4,36012,110,0,1600,5,4,5,85,1130
127,HONDA Civic 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,5,36000,110,0,1600,5,4,5,85,1130
128,HONDA Civic 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,1,36000,110,0,1600,5,4,5,19,1075
129,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,1,35000,97,0,1400,5,4,5,85,1110
130,HONDA Civic 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,4,33740,97,0,1400,5,4,5,85,1135
131,HONDA Civic 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,8,33477,110,0,1600,5,4,5,19,1075
132,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,1,32627,97,0,1400,5,4,5,85,1110
133, HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,1,29797,97,0,1400,5,4,5,85,1110
134,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,2,29441,97,0,1400,5,4,5,85,1110
135,HONDA Civic 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,8,29371,110,0,1600,4,4,5,19,1105
136, HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,1,29000,97,0,1400,5,4,5,85,1110
137,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,2,27821,97,0,1400,5,4,5,85,1110
138,HONDA Civic 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,2,27371,97,0,1400,5,4,5,85,1135
139, HONDA Civic 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,8,25170,110,0,1600,5,4,5,19,1105
140,HONDA Civic Luna 5drs D4D116 PK 4/5-Doors,23000,11,10,25000,116,0,2000,5,4,5,64,1320
141,HONDA Civic 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,1,23000,110,0,1600,5,4,5,85,1130
142,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,1,22588,97,0,1400,5,4,5,85,1110
143, HONDA Civic 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,2,21684,192,0,1800,5,4,5,19,1185
144, HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,8,21428,110,0,1600,5,4,5,85,1130
145,HONDA Civic 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,5,20629,110,0,1600,4,4,5,85,1090
146,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,6,20270,110,0,1600,5,4,5,85,1130
147, HONDA Civic 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,5,20105,97,0,1400,5,4,5,85,1110
148, HONDA Civic 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,1,20000,110,1,1600,5,4,5,100,1165
149,HONDA Civic 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,8,19988,110,0,1600,5,4,5,85,1130
150,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,2,18328,110,0,1600,5,4,5,85,1130
151,HONDA Civic 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,7,17896,110,1,1600,4,4,5,85,1150
152, HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,1,17300,97,0,1400,5,4,5,85,1110
153,HONDA Civic 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,2,17038,110,0,1600,5,4,5,85,1130
154,HONDA Civic 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,11,13747,97,0,1400,5,4,5,85,1110
155, HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,9,13634,110,0,1600,5,4,5,85,1115
156,HONDA Civic 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,8,13178,110,0,1600,5,4,5,85,1130
157,HONDA Civic 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,6,13157,97,0,1400,4,4,5,85,1085
158,HONDA Civic 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,5,13000,110,0,1600,4,4,5,85,1105
159,HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,10,12500,110,0,1600,5,4,5,85,1115
160,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,4,11999,110,0,1600,5,4,5,85,1130
161,HONDA Civic 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,5,11754,110,1,1600,5,4,5,100,1180
162,HONDA Civic 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,5,11000,110,0,1600,4,4,5,85,1105
163, HONDA Civic 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,4,10000,110,0,1598,5,4,5,85,1105
164,HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,12,7650,110,0,1600,5,4,5,85,1115
165,HONDA Civic 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,7,6500,110,0,1600,4,4,5,85,1100
166,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,10,6155,97,0,1400,5,4,5,85,1110
167,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,7,6000,110,0,1600,5,4,5,85,1130
168,HONDA Civic 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,7,5459,110,0,1600,5,4,5,85,1130
169,HONDA Civic 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,7,5278,110,1,1600,4,4,5,85,1150
170,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,9,5000,110,0,1600,5,4,5,85,1130
171,HONDA Civic 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,12,1,98,0,1400,4,4,5,19,1065
172,HONDA Civic 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,12,1,110,0,1600,5,4,5,19,1075
173,HONDA Civic 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,1,11000,110,0,1600,5,4,5,85,1130
174,HONDA Civic 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,1,10077,97,0,1400,5,4,5,85,1110
175, HONDA Civic 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,1,10000,97,0,1400,5,4,5,85,1110
176,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,1,9788,110,0,1600,5,4,5,85,1130
177,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,1,8574,110,0,1600,5,4,5,85,1130
178,HONDA Civic 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,1,7000,110,0,1600,5,4,5,85,1115
179,HONDA Civic 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,2,6250,110,0,1600,5,4,5,85,1115
180,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,1,5000,110,0,1600,5,4,5,85,1130
181,HONDA Civic 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3,3000,110,0,1600,5,4,5,85,1130
182,HONDA Civic 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2,2000,110,0,1600,5,4,5,19,1075
183,HONDA Civic 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,2,450,97,0,1400,5,4,5,85,1110
184,HONDA Civic 1.4 16V 5DR TERRA 4/5-Doors,21125,2,7,225,97,0,1400,5,4,5,85,1110
185,HONDA Civic 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,7,15,110,0,1600,5,4,5,85,1130
186, HONDA Civic 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,8,1,98,0,1400,4,4,5,19,1100
187,HONDA Civic 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,8,1,110,0,1600,5,4,5,19,1075
188,HONDA Civic 1.9 D HATCHB SOL 2/3-Doors,6950,43,2,243000,69,0,1900,3,4,5,185,1110
189,HONDA Civic 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,7,180638,90,0,2000,4,4,5,210,1160
190,HONDA Civic 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,5,179860,90,0,2000,5,4,5,210,1205
191,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,2,178858,110,0,1600,3,4,5,197,1084
192,HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,11950,40,5,161000,69,0,1900,3,4,5,185,1105
193,HONDA Civic 1.8D Stationwagen,4350,44,1,158320,69,0,1800,5,4,5,64,1110
194,HONDA Civic 1.8D 4/5-Doors,4750,44,1,131273,69,0,1800,5,4,5,64,1110
195,HONDA Civic 1.9 D LIFTB TERRA 4/5-Doors,11750,40,5,130062,69,0,1900,5,4,5,185,1140
196,HONDA Civic 1.9 D WAGON TERRA Stationwagen,13250,41,4,123425,69,0,1900,5,4,5,185,1140
197,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,8,118217,110,0,1600,5,4,5,85,1075
198,HONDA Civic 1.9 D Sedan 4/5-Doors,11900,44,1,110000,69,0,1900,5,4,5,185,1095
199,HONDA Civic 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,6,108847,90,0,2000,5,4,5,210,1205
200,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,3,105699,97,0,1400,3,4,5,69,1025
201,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,6,98823,110,0,1600,5,4,5,197,1119
202,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,1,96829,110,0,1600,5,4,5,85,1075
203,HONDA Civic 1.4 VVTI Linea Terra 2/3-Doors,11250,40,5,96518,97,0,1400,3,4,5,69,1025
204,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,3,92204,110,0,1600,5,4,5,85,1075
205,HONDA Civic 1.9 D HATCHB SOL 2/3-Doors,10450,35,10,91456,69,0,1900,3,4,5,185,1110
206,HONDA Civic 19D LB Linea Terra 4/5-Doors,12950,43,2,89968,69,0,1900,5,4,5,185,1140
207,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,1,89757,110,0,1600,3,4,5,69,1045
208,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,5,85389,110,0,1600,5,4,5,85,1075
209,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,2,85017,97,0,1400,5,4,5,85,1060
210,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,4,84312,110,0,1600,5,4,5,85,1080
211,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,8,82743,110,0,1600,5,4,5,197,1121
212,HONDA Civic 1.9 D WAGON TERRA Stationwagen,13250,41,4,81106,69,0,1900,5,4,5,185,1140
